"idx","sims","years","land_type","yield_value","ytb_type","man_bud_type","trend_Min.","trend_Median","trend_Mean","trend_Max.","EXT","EXT_first","get_res","land_dim_1","land_dim_2","land_ownership","tend_crops","tend_crop_yld","scaring","minimum_cost","remove_pr","res_death_type","lambda","res_death_K","RESOURCE_ini","manage_target","manager_budget","user_budget","public_land","stakeholders","res_consume","observe_type","res_move_obs","agent_view","times_observe","agent_move","converge_crit","ga_mingen","land_type_max_frac"
"20191208140216_nullModel-YTB15",100,100,"oneRich",0.4,"beta1","fixed",0.102841173208532,1.02786164909878,0.986160643115185,1.19543425257006,3,69,"Full",200,200,TRUE,TRUE,0.2,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,0,8,0.2,0,TRUE,100,10,100,0.1,40,0.25
"20191208140236_nullModel-YTB15",100,100,"oneRich",0.4,"beta1","mean",0.116473839848454,0.985513371175345,0.925586636984566,1.39802633302246,4,51,"Full",200,200,TRUE,TRUE,0.2,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,0,8,0.2,0,TRUE,100,10,100,0.1,40,0.25
"20191208140257_nullModel-YTB15",100,100,"oneRich",0.4,"beta1","max",0.151523367051801,0.935486499891327,0.848378913612936,1.33087069422366,10,69,"Full",200,200,TRUE,TRUE,0.2,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,0,8,0.2,0,TRUE,100,10,100,0.1,40,0.25
"20191208140311_nullModel-YTB15",100,100,"oneRich",0.4,"beta1","fixed",0.379170643955254,1.03944092509843,1.00624545633263,1.27233611554618,2,88,"Full",200,200,TRUE,TRUE,0.2,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,0,8,0.2,0,TRUE,100,10,100,0.1,40,0.5
"20191208140328_nullModel-YTB15",100,100,"oneRich",0.4,"beta1","mean",0.297321250766424,1.00899298013884,0.987511703576472,1.22670590069819,0,Inf,"Full",200,200,TRUE,TRUE,0.2,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,0,8,0.2,0,TRUE,100,10,100,0.1,40,0.5
"20191208140354_nullModel-YTB15",100,100,"oneRich",0.4,"beta1","max",0.429475897374938,0.966639025419358,0.949731437215809,1.1986811238085,1,100,"Full",200,200,TRUE,TRUE,0.2,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,0,8,0.2,0,TRUE,100,10,100,0.1,40,0.5
"20191208164541_nullModel-YTB15",100,100,"oneRich",0.4,"beta1","fixed",0.455503319576794,1.0359561212799,1.02220820342724,1.16597687385714,1,77,"Full",200,200,TRUE,TRUE,0.2,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,0,8,0.2,0,TRUE,100,10,100,0.1,40,0.75
"20191208164549_nullModel-YTB15",100,100,"oneRich",0.4,"beta1","mean",0.352518256441332,1.00857642367355,0.995394839676534,1.10872829470227,1,94,"Full",200,200,TRUE,TRUE,0.2,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,0,8,0.2,0,TRUE,100,10,100,0.1,40,0.75
"20191208164554_nullModel-YTB15",100,100,"oneRich",0.4,"beta1","max",0.471424421930039,0.986085816879648,0.969892461249667,1.1044107901321,0,Inf,"Full",200,200,TRUE,TRUE,0.2,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,0,8,0.2,0,TRUE,100,10,100,0.1,40,0.75
"20191208164601_nullModel-YTB15",100,100,"equal",0.4,"beta1","fixed",0.378077028918555,0.993581251291293,0.936681239377353,1.21324362871595,5,89,"Full",200,200,TRUE,TRUE,0.2,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,0,8,0.2,0,TRUE,100,10,100,0.1,40,NA
"20191208164605_nullModel-YTB15",100,100,"equal",0.4,"beta1","mean",0.185065611945659,0.936833879040932,0.865439833922052,1.29013922266642,8,82,"Full",200,200,TRUE,TRUE,0.2,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,0,8,0.2,0,TRUE,100,10,100,0.1,40,NA
"20191208164612_nullModel-YTB15",100,100,"equal",0.4,"beta1","max",0.252796496719242,0.898559104553689,0.838980075276693,1.21795773813277,6,73,"Full",200,200,TRUE,TRUE,0.2,TRUE,10,0.075,3,0.25,10000,1000,1000,1000,1000,0,8,0.2,0,TRUE,100,10,100,0.1,40,NA
